unique_id,cm.DESWC,ner.entity.cnt,cm.LDTTRa,message.depth,cm.LDTTRc,cm.LSAGN,liwc.Qmark,message.sim.prev,cm.LDVOCD,liwc.money,cm.DESPL,message.sim.next,message.reply.cnt,cm.DESSC,lsa.similarity,cm.DESSL,cm.DESWLsyd,liwc.i,cm.RDFKGL,cm.SMCAUSwn,Words >6 letters,Total pronouns,Personal pronouns,First-person plural,Second person,Third-person singular,Third-person plural,Indefinite pronouns,Articles,Common verbs,Past tense,Present tense,Future tense,Adverbs,Prepositions,Conjunctions,Negations,Quantifiers,Numbers,adjectives_ambiguity,adverbs_ambiguity,nouns_ambiguity,verbs_ambiguity,adjacent_refs,anaphoric_refs,adjectives,adverbs,content_words,flesch,function_words,nouns,paragraphs,pronouns,sentences,sentences_per_paragraph,syllables_per_content_word,verbs,words,words_per_sentence,add_neg_conn_incidence,add_pos_conn_incidence,cau_neg_conn_incidence,cau_pos_conn_incidence,conn_incidence,log_neg_conn_incidence,log_pos_conn_incidence,tmp_neg_conn_incidence,tmp_pos_conn_incidence,mod_per_np,np_incidence,words_before_main_verb,adj_arg_ovl,adj_cw_ovl,adj_stem_ovl,arg_ovl,stem_ovl,cw_freq,min_cw_freq,hypernyms_verbs,and_incidence,if_incidence,logic_operators,negation_incidence,or_incidence,personal_pronouns,pronouns_per_np,ttr,classe
702,18,1,0.783,2,0.522,0.417,1,0.598,0.522,0,4,0.28,0,4,0.317,4.75,1.09,0,46.614,1.667,5,0,0,0,0,0,0,1,3,3,0,1,0,3,1,0,0,2,0,7.5,5.5,4.25,13.5,0,0,111.111,111.111,666.667,54.745,333.333,222.222,1,55.556,3,3,2.667,222.222,18,6,0,0,0,55.556,111.111,0,0,0,55.556,0.333,357.576,0.667,0,0,0,0,0,195845.667,142341.333,0.333,0,0,0,0,0,0,0,0.944,1
712,12,1,0.812,2,0.562,0.505,1,0.28,0.562,0,2,0.438,0,2,-0.006,7,0.866,0,72.53,0,2,1,1,0,0,0,0,0,1,2,1,1,0,0,3,0,0,0,0,0,0,2.5,9.5,0,0,0,0,500,60.405,416.667,333.333,1,166.667,1,1,3,166.667,12,12,0,0,0,0,0,0,0,0,0,0.4,416.667,0,0,0,0,0,0,65114.667,5512,0,0,0,0,0,0,0,0,0.917,1
714,20,0,0.783,2,0.565,0.744,1,0.438,0.565,0,2,0.672,0,2,0.312,9.5,1.154,0,57.303,21,6,0,0,0,0,0,0,1,1,2,0,0,0,5,3,0,0,3,0,0,4.25,6,4,0,0,52.632,210.526,631.579,43.277,315.789,263.158,1,0,2,2,3,105.263,19,9.5,0,0,0,0,105.263,0,52.632,0,52.632,0.25,117.647,4.5,0,0,0,0,0,364618.333,202135.5,2,0,0,0,0,0,0,0,0.947,1
715,21,1,0.808,2,0.5,0.728,1,0.672,0.5,0,2,0.571,0,2,0.138,12,1.174,0,35.226,0,8,2,2,0,0,0,0,0,2,2,0,0,0,1,3,0,0,1,0,3,5,2.75,9.667,0,0,47.619,47.619,619.048,26.091,380.952,380.952,1,47.619,1,1,3.154,142.857,21,21,0,0,0,47.619,47.619,0,47.619,0,0,0.333,285.714,3,0,0,0,0,0,343614.615,37,0.667,0,0,0,0,0,0,0,0.952,1
716,19,1,0.8,4,0.48,0.661,2,0.571,0.48,0,3,0.682,0,3,0.324,6.667,1.347,0,37.247,4,5,2,2,0,0,0,0,0,1,3,1,1,0,3,1,0,0,0,0,1,7.5,0.571,13.5,0,0,52.632,157.895,684.211,33.133,315.789,368.421,1,105.263,3,3,3.154,105.263,19,6.333,52.632,52.632,0,105.263,210.526,52.632,0,0,0,0.167,233.333,3,0,0,0,0,0,130435.462,4156.333,0,52.632,0,52.632,0,0,0,0,1,1
717,10,1,0.846,2,0.615,0.48,1,0.682,0.615,0,2,0.625,0,2,0.266,5.5,0.89,0,48.673,0,4,1,1,0,0,0,0,2,1,1,0,1,0,2,1,0,0,2,0,0,5.5,3.333,3,0,0,0,200,600,27.185,400,300,1,200,1,1,3,100,10,10,0,0,0,100,200,0,100,0,100,0.667,300,7,0,0,0,0,0,187519.333,0,1,0,0,0,0,0,0,0,1,1
719,13,1,0.824,2,0.529,0.49,1,0.625,0.529,0,2,0.537,0,2,0.107,7.5,0.844,0,85.038,110,2,2,2,0,0,0,0,0,1,1,0,0,0,2,1,0,0,1,0,2,5,1,7,0,0,76.923,76.923,615.385,72.948,384.615,307.692,1,153.846,1,1,2.375,153.846,13,13,0,76.923,0,0,76.923,0,76.923,0,76.923,0.4,384.615,10,0,0,0,0,0,578018,550,2,0,0,0,0,0,0,0,0.923,1
724,158,0,0.574,1,0.383,0.796,0,0.537,0.383,0,10,0.653,0,10,0.502,16.3,1.247,0,41.137,17.889,46,0,0,0,0,0,0,2,22,18,2,6,0,7,29,10,1,3,0,3.267,3,3.8,10.562,0,0,96.154,64.103,570.513,42.109,423.077,288.462,1,51.282,10,10,3.011,121.795,156,15.6,6.41,57.692,0,70.513,128.205,6.41,12.821,0,0,0.482,234.594,5.2,0,0.222,0.556,0.178,0.489,369583.854,1713,0.5,44.872,0,57.692,6.41,6.41,0,0,0.66,2
727,37,3,0.81,3,0.5,0.525,0,0.653,0.5,0,2,0.592,0,2,0.41,19.5,1.509,0,27.832,12.667,14,5,5,1,0,0,0,0,4,6,4,1,0,2,6,0,0,0,1,4.5,2,1.846,9,0,0,54.054,54.054,594.595,12.356,405.405,351.351,1,54.054,1,1,3.182,135.135,37,37,0,0,0,0,0,0,0,0,0,0.4,270.27,1,0,0,0,0,0,147020.636,0,0.6,0,0,0,0,0,0,0,0.865,2
750,17,1,0.783,3,0.696,0.48,0,0.592,0.696,0,1,0.457,0,1,0,18,1.421,0,-28.211,28.5,11,0,0,0,0,0,0,0,0,2,0,0,0,2,4,0,0,1,0,2,2,1.833,8,0,0,117.647,235.294,823.529,-17.244,176.471,352.941,1,0,1,1,3.286,117.647,17,17,0,58.824,0,58.824,117.647,0,117.647,0,0,0,352.941,1,0,0,0,0,0,320772.286,7,0.5,0,0,0,0,0,0,0,1,2
